	Met1	Met2	Met3	pH	Deep	P	N
1	36.998	16.909	28.789	5.07	1.45	46.17	4.1
2	36.491	16.944	28.829	4.8	1.82	45.56	3.95
3	34.941	12.964	30.576	4.77	1.53	45.08	19.57
4	32.652	13.256	26.222	3.36	2.32	35.51	6.86
5	36.356	16.676	27.953	4.11	2.19	46.47	5.66
6	36.326	13.93	27.633	5.3	1.2	47.02	17.38
7	31.547	10.515	26.671	3.18	0.82	30.92	7.66
8	35.224	15.568	27.423	6.07	0.81	46.76	4.83
9	33.91	15.28	28.196	4.21	2.48	44.91	17.41
10	33.023	11.592	28.944	3.82	2.75	35.63	11.24
11	36.748	17.056	27.404	3.1	2.62	48.05	6.81
12	37.14	14.304	29.027	3.44	1.13	49.5	10.58
13	32.378	13.053	27.795	6.86	2.81	31.41	9.17
14	32.111	13.328	26.793	4.69	2.33	38.58	14.07
15	35.285	14.243	30.855	3.26	2.04	49.67	15.45
16	37.148	17.92	27.582	5.68	0.53	48.17	7.31
17	32.963	13.263	27.734	4.62	0.86	35.96	10.88
18	34.034	10.799	29.087	5.65	0.61	37.54	16
19	33.837	10.524	29.105	3.1	1.19	44.2	17.05
20	34.722	12.193	29.197	5.05	0.65	41.39	17.32
21	33.736	14.415	27.479	3.7	2.25	46.03	9.21
22	37.418	15.148	29.217	5	2.62	46.89	3.4
23	35.932	16.197	30.244	6.92	1.94	47.82	19.41
24	35.014	15.391	29.108	6.92	1.54	46.24	10.25
25	34.925	15.822	29.457	4.97	2.32	42.44	6.71
