especie,individuo,folha,comprimento,largura
geonoma,g1,f1,23.70433,6.347753
geonoma,g1,f2,22.83551,6.583287
geonoma,g1,f3,20.91273,6.671018
geonoma,g1,f4,23.86566,8.330554
geonoma,g1,f5,24.48973,7.67992
geonoma,g1,f6,23.50384,7.034475
geonoma,g1,f7,24.18957,7.2161
geonoma,g1,f8,24.82199,6.85244
geonoma,g1,f9,21.60713,8.431182
geonoma,g1,f10,17.28757,5.958292
geonoma,g1,f11,21.51971,10.194967
geonoma,g1,f12,21.13021,6.495723
geonoma,g1,f13,25.73746,11.585526
geonoma,g1,f14,23.80781,10.208
geonoma,g2,f1,22.63179,9.390157
geonoma,g2,f2,21.00765,5.103766
geonoma,g2,f3,20.12818,10.388702
geonoma,g2,f4,21.96199,5.918866
geonoma,g2,f5,24.50061,4.592855
geonoma,g2,f6,27.36953,6.811809
geonoma,g2,f7,21.59741,8.772691
geonoma,g2,f8,22.51106,5.858974
geonoma,g2,f9,19.25931,4.923131
geonoma,g2,f10,22.85932,10.281665
geonoma,g2,f11,22.62791,9.072418
geonoma,g2,f12,25.88364,5.928442
geonoma,g2,f13,21.05238,10.23039
geonoma,g2,f14,23.53116,7.993382
geonoma,g3,f1,36.42681,5.56955
geonoma,g3,f2,38.48344,9.672712
geonoma,g3,f3,37.49022,10.61624
geonoma,g3,f4,35.82387,8.823539
geonoma,g3,f5,32.65066,5.451348
geonoma,g3,f6,33.05914,7.334796
geonoma,g3,f7,32.98783,7.408293
geonoma,g3,f8,31.2001,11.066035
geonoma,g3,f9,35.78702,6.694856
geonoma,g3,f10,34.18193,9.91046
geonoma,g3,f11,33.71786,10.749033
geonoma,g3,f12,35.01441,8.275197
geonoma,g3,f13,35.18129,9.891828
geonoma,g3,f14,41.04836,8.138363
geonoma,g4,f1,10.891672,6.793485
geonoma,g4,f2,10.277276,6.099332
geonoma,g4,f3,11.303724,7.140023
geonoma,g4,f4,7.412146,7.965659
geonoma,g4,f5,9.510833,8.538586
geonoma,g4,f6,9.952879,8.025436
geonoma,g4,f7,6.442516,12.69698
geonoma,g4,f8,10.197545,8.461544
geonoma,g4,f9,7.120578,5.87968
geonoma,g4,f10,8.76176,1.897482
geonoma,g4,f11,11.66898,8.048509
geonoma,g4,f12,4.30846,10.729735
geonoma,g4,f13,9.379585,8.699312
geonoma,g4,f14,9.221475,7.975034
geonoma,g5,f1,14.97472,9.129152
geonoma,g5,f2,16.05882,11.928719
geonoma,g5,f3,16.31705,7.7865
geonoma,g5,f4,16.00427,7.960653
geonoma,g5,f5,12.99542,8.236528
geonoma,g5,f6,11.20076,11.914524
geonoma,g5,f7,17.65054,5.434814
geonoma,g5,f8,15.81752,9.004145
geonoma,g5,f9,14.45002,7.766729
geonoma,g5,f10,15.53304,8.508812
geonoma,g5,f11,10.84165,5.496431
geonoma,g5,f12,18.34833,5.896734
geonoma,g5,f13,10.66562,8.314182
geonoma,g5,f14,13.15733,6.152062
