parcela	tratamentos	taxa_germinacao	replicas
1	controle	80	1
2	controle	84	1
3	controle	88	1
4	controle	83	1
5	controle	74	1
6	controle	63	1
7	controle	69	1
8	controle	99	1
9	controle	81	1
10	controle	78	1
11	controle	82	1
12	controle	77	1
13	controle	74	1
14	controle	66	1
15	controle	62	1
16	controle	89	1
17	controle	72	1
18	controle	59	1
19	controle	92	1
20	controle	61	1
21	controle	94	1
22	controle	78	1
23	controle	66	1
24	controle	93	1
25	controle	69	1
26	controle	94	1
27	controle	80	1
28	controle	91	1
29	controle	78	1
30	controle	74	1
1	T50	50	1
2	T50	58	1
3	T50	55	1
4	T50	49	1
5	T50	44	1
6	T50	52	1
7	T50	51	1
8	T50	44	1
9	T50	47	1
10	T50	54	1
11	T50	59	1
12	T50	42	1
13	T50	43	1
14	T50	55	1
15	T50	51	1
16	T50	42	1
17	T50	44	1
18	T50	55	1
19	T50	51	1
20	T50	43	1
21	T50	41	1
22	T50	49	1
23	T50	39	1
24	T50	38	1
25	T50	47	1
26	T50	46	1
27	T50	52	1
28	T50	55	1
29	T50	58	1
30	T50	49	1
1	T100	31	1
2	T100	29	1
3	T100	32	1
4	T100	33	1
5	T100	27	1
6	T100	26	1
7	T100	34	1
8	T100	39	1
9	T100	33	1
10	T100	31	1
11	T100	22	1
12	T100	20	1
13	T100	30	1
14	T100	21	1
15	T100	29	1
16	T100	27	1
17	T100	36	1
18	T100	31	1
19	T100	25	1
20	T100	23	1
21	T100	19	1
22	T100	16	1
23	T100	28	1
24	T100	36	1
25	T100	34	1
26	T100	23	1
27	T100	24	1
28	T100	33	1
29	T100	31	1
30	T100	27	1
1	controle	81	2
2	controle	85	2
3	controle	89	2
4	controle	84	2
5	controle	75	2
6	controle	64	2
7	controle	70	2
8	controle	100	2
9	controle	82	2
10	controle	79	2
11	controle	83	2
12	controle	78	2
13	controle	75	2
14	controle	67	2
15	controle	63	2
16	controle	90	2
17	controle	73	2
18	controle	60	2
19	controle	93	2
20	controle	62	2
21	controle	95	2
22	controle	79	2
23	controle	67	2
24	controle	94	2
25	controle	70	2
26	controle	95	2
27	controle	81	2
28	controle	92	2
29	controle	79	2
30	controle	75	2
1	controle	82	3
2	controle	86	3
3	controle	90	3
4	controle	85	3
5	controle	76	3
6	controle	65	3
7	controle	71	3
8	controle	101	3
9	controle	83	3
10	controle	80	3
11	controle	84	3
12	controle	79	3
13	controle	76	3
14	controle	68	3
15	controle	64	3
16	controle	91	3
17	controle	74	3
18	controle	61	3
19	controle	94	3
20	controle	63	3
21	controle	96	3
22	controle	80	3
23	controle	68	3
24	controle	95	3
25	controle	71	3
26	controle	96	3
27	controle	82	3
28	controle	93	3
29	controle	80	3
30	controle	76	3
1	controle	85	4
2	controle	89	4
3	controle	93	4
4	controle	88	4
5	controle	79	4
6	controle	68	4
7	controle	74	4
8	controle	104	4
9	controle	86	4
10	controle	83	4
11	controle	87	4
12	controle	82	4
13	controle	79	4
14	controle	71	4
15	controle	67	4
16	controle	94	4
17	controle	77	4
18	controle	64	4
19	controle	97	4
20	controle	66	4
21	controle	99	4
22	controle	83	4
23	controle	71	4
24	controle	98	4
25	controle	74	4
26	controle	99	4
27	controle	85	4
28	controle	96	4
29	controle	83	4
30	controle	79	4
1	controle	84	5
2	controle	88	5
3	controle	92	5
4	controle	87	5
5	controle	78	5
6	controle	67	5
7	controle	73	5
8	controle	103	5
9	controle	85	5
10	controle	82	5
11	controle	86	5
12	controle	81	5
13	controle	78	5
14	controle	70	5
15	controle	66	5
16	controle	93	5
17	controle	76	5
18	controle	63	5
19	controle	96	5
20	controle	65	5
21	controle	98	5
22	controle	82	5
23	controle	70	5
24	controle	97	5
25	controle	73	5
26	controle	98	5
27	controle	84	5
28	controle	95	5
29	controle	82	5
30	controle	78	5
1	T50	51	2
2	T50	59	2
3	T50	56	2
4	T50	50	2
5	T50	45	2
6	T50	53	2
7	T50	52	2
8	T50	45	2
9	T50	48	2
10	T50	55	2
11	T50	60	2
12	T50	43	2
13	T50	44	2
14	T50	56	2
15	T50	52	2
16	T50	43	2
17	T50	45	2
18	T50	56	2
19	T50	52	2
20	T50	44	2
21	T50	42	2
22	T50	50	2
23	T50	40	2
24	T50	39	2
25	T50	48	2
26	T50	47	2
27	T50	53	2
28	T50	56	2
29	T50	59	2
30	T50	50	2
1	T50	54	3
2	T50	62	3
3	T50	59	3
4	T50	53	3
5	T50	48	3
6	T50	56	3
7	T50	55	3
8	T50	48	3
9	T50	51	3
10	T50	58	3
11	T50	63	3
12	T50	46	3
13	T50	47	3
14	T50	59	3
15	T50	55	3
16	T50	46	3
