N	PARCELA	POSICAO	X	Y	ESPECIE	Cacho1	S1	S2	S3	S4	Smean	D	Copa
3428	L30500	E	28.5	1.89	Ga	8	3	2	0	1	1.5	3	2
48	L30500	E	29.2	6.3	Is	29	5	4	3	3	3.75	3	2
3085	L30500	E	35.2	13.4	Is	124	7	3	2	2	3.5	1	3
3430	L30500	D	44.2	17.5	Om	5	5	4	2	2	3.25	2	3
3437	L30500	E	88.7	9.2	Is	4	2	0	4	0	1.5	4	3
3459	L30500	E	153.5	4.35	Is	13	2	0	2	14	4.5	5	2
3461	L30500	D	161.1	5.95	Is	29	0	2	2	0	1	3	2
8837	L30500	D	163.7	2.8	Is	27	2	2	2	0	1.5	4	3
19	L30500	E	177.1	6.3	Is	12	0	2	2	1	1.25	3	3
15	L30500	E	178.4	1.32	Ga	8	0	2	0	2	1	1	2
83	L30500	D	189.99	4.48	Is	141	0	0	0	0	0	2	2
89	L30500	D	211.95	1.5	Is	93	0	1	2	1	1	3	2
6	L30500	E	221.6	2.15	Ga	4	3	4	4	2	3.25	2	2
3319	L31500	E	1.9	12.5	Is	27	4	4	6	9	5.75	3	2
3326	L31500	D	24.85	10.1	Is	8	4	8	5	4	5.25	4	2
3330	L31500	E	31.35	4.55	Is	154	4	2	4	2	3	2	2
115	L31500	D	36.5	5.75	Is	25	5	4	6	6	5.25	3	2
116	L31500	D	42.6	8.7	Is	33	5	4	4	2	3.75	6	2
3341	L31500	D	51.7	19.15	Is	217	2	2	8	2	3.5	2	2
128	L31500	D	82.25	2.9	Is	41	8	8	8	18	10.5	4	2
3357	L31500	D	96.1	4.3	Is	76	6	2	6	5	4.75	4	2
3366	L31500	E	102.2	19.05	Om	12	4	12	14	2	8	5	3
3368	L31500	E	106.1	11.15	Is	25	4	4	6	3	4.25	5	2
3373	L31500	E	113.35	6.2	Om	1	2	0	1	1	1	2	2
3377	L31500	E	128.4	16.6	Om	19	4	6	6	4	5	1	3
3387	L31500	E	144.7	0.85	Om	15	0	2	2	2	1.5	2	3
3388	L31500	E	144.88	0.82	Om	0	4	2	2	4	3	3	NA
3391	L31500	E	147.2	1.6	Ga	42	1	2	2	0	1.25	2	2
151	L31500	D	152	5.19	Om	6	2	0	2	1	1.25	3	2
160	L31500	D	163	5.45	Is	63	2	4	2	2	2.5	3	3
164	L31500	D	167.65	0.75	Ga	6	0	6	6	4	4	3	2
3405	L31500	D	171.8	12.3	Om	62	4	2	3	5	3.5	4	2
3411	L31500	E	182.6	2	Ga	18	4	4	4	4	4	3	4
243	L31500	E	216.2	6.55	Is	2	2	2	2	3	2.25	2	2
234	L31500	E	224.51	2.6	Ga	2	0	0	2	0	0.5	2	2
3421	L31500	D	235.8	10.25	Is	89	4	6	5	4	4.75	2	2
212	L31500	E	238.14	4.02	Is	18	4	2	2	2	2.5	4	2
3425	L31500	E	238.8	1.15	Is	61	0	0	4	5	2.25	4	2
205	L31500	E	246.24	2.57	Ga	20	2	2	1	3	2	2	2
196	L31500	D	250.09	7.68	Om	13	6	4	16	7	8.25	2	3
201	L31500	E	258	2	Ga	48	7	6	6	2	5.25	2	3
3204	L32500	E	24.1	9.15	Ob	107	2	2	0	2	1.5	4	NA
3201	L32500	D	25.25	12.5	Is	126	0	2	0	1	0.75	7	3
3208	L32500	E	27.5	10.9	Is	31	2	2	4	4	3	3	4
3209	L32500	E	30.25	3.9	Om	346	4	5	2	2	3.25	1	3
6912	L32500	E	73.09	2.25	Is	6	2	1	2	2	1.75	4	2
3223	L32500	E	80.85	14.5	Is	34	3	3	4	2	3	1	3
3225	L32500	E	84.5	16.1	Is	81	3	2	2	1	2	2	2
3240	L32500	E	114.49	0.57	Ga	37	0	2	2	2	1.5	2	2
3236	L32500	D	117	1	Ga	24	2	4	8	6	5	3	2
3245	L32500	E	120.3	15.65	Is	4	3	4	3	4	3.5	3	3
3246	L32500	E	121.65	16.7	Is	59	2	5	4	6	4.25	4	2
3257	L32500	D	157.1	19.75	Obc	3391	2	1	2	0	1.25	4	5
3263	L32500	E	172	3	Is	103	13	14	6	8	10.25	3	2
3270	L32500	D	180.05	3	Ga	12	3	2	3	3	2.75	1	2
3284	L32500	D	213.4	17.75	Is	72	6	6	6	5	5.75	3	3
3287	L32500	D	218.97	0.7	Is	62	2	5	5	6	4.5	2	2
3295	L32500	E	221.1	19.55	Am	1	0	0	0	1	0.25	2	2
3298	L32500	E	227.6	6.65	Om	10	4	6	5	4	4.75	4	2
3126	L33500	E	8.1	2.5	Am	58	0	0	0	0	0	2	1
3124	L33500	D	8.2	9	Am	61	4	3	2	4	3.25	7	2
3132	L33500	E	16.15	13.4	Ep	2473	3	9	4	5	5.25	2	5
3129	L33500	D	18.85	0.7	Ob	1402	0	5	6	9	5	1	5
3137	L33500	D	32.6	9.5	Se	1397	0	2	0	0	0.5	4	5
3140	L33500	D	34.4	10.63	Ob	411	4	4	5	9	5.5	7	5
3142	L33500	D	34.65	12.29	Is	162	10	6	6	0	5.5	5	4
3185	L33500	D	171.3	14.5	Ob	1724	8	7	6	10	7.75	5	4
2978	L34500	E	4.2	13.17	Aa	108	2	2	2	4	2.5	4	3
2982	L34500	D	10.1	15.2	Obc	947	5	2	7	3	4.25	2	5
2985	L34500	E	17.8	1.48	Ga	10	0	2	4	2	2	3	1
2986	L34500	E	17.98	1.25	Ga	8	1	15	2	2	5	3	1
3001	L34500	E	49	9.55	Is	184	6	4	4	4	4.5	3	2
3049	L34500	E	122.1	13.15	Is	57	0	0	1	1	0.5	6	2
3054	L34500	D	137.3	4.6	Aa	108	0	0	0	0	0	3	3
3054	L34500	D	137.3	4.6	Aa	68	3	0	2	0	1.25	3	3
3081	L34500	E	170.2	0.65	Se	215	0	1	0	0	0.25	4	4
3082	L34500	E	171	4.6	Is	18	0	0	0	0	0	2	3
3088	L34500	E	180.4	1.88	Ga	22	0	0	0	0	0	5	2
3096	L34500	E	197.65	17.95	Is	6	2	4	1	1	2	3	3
3109	L34500	E	234.6	3	Ga	20	1	0	0	0	0.25	4	2
5265	L34500	E	237	3	Om	3	2	0	2	2	1.5	3	2
2347	L40500	D	21.05	5.55	Am	86	4	0	4	2	2.5	3	2
2374	L40500	D	40	9	Is	106	2	3	2	6	3.25	2	2
2450	L40500	E	82	14	Am	3	1	2	2	4	2.25	2	2
2451	L40500	E	84	1.9	Am	98	0	1	2	1	1	4	3
2491	L40500	E	113.55	16.2	Am	92	5	4	0	4	3.25	1	3
2583	L40500	D	193.3	13.6	Am	78	2	4	6	4	4	3	1
37351	L41500	D	29.65	2.44	Om	13	2	3	0	2	1.75	2	2
37679	L41500	D	31.4	10.15	Ob	1853	2	2	6	2	3	3	5
37627	L41500	E	67.43	2.18	Is	48	2	2	4	2	2.5	2	2
37384	L41500	D	77.12	1.38	Is	64	2	4	6	2	3.5	2	2
2715	L41500	D	94.9	4.77	Se	8	2	3	2	1	2	3	4
37829	L41500	E	105.15	5.67	Ob	93	2	3	2	4	2.75	2	5
37598	L41500	E	126.53	2.53	Se	327	6	4	0	4	3.5	6	3
2731	L41500	E	167.35	0.75	Ob	2534	0	0	4	4	2	1	5
2733	L41500	D	177.8	0.2	Ob	1118	2	5	0	2	2.25	1	4
2787	L42500	E	95.45	11.8	Is	204	3	4	0	2	2.25	3	2
2789	L42500	E	99.65	4.5	Ga	1	0	0	1	0	0.25	1	1
2791	L42500	D	103.6	1.75	Ga	1	4	4	3	2	3.25	2	1
2800	L42500	D	161.9	10.7	Is	41	4	2	8	3	4.25	3	2
2805	L42500	E	200	6.68	Om	39	1	0	1	1	0.75	2	3
2806	L42500	E	213.15	10.45	Is	3	2	2	3	2	2.25	2	2
2810	L42500	E	237.25	0.9	Ga	2	0	2	1	4	1.75	3	1
2813	L43500	D	9.6	16.9	Is	78	1	1	2	0	1	4	1
2829	L43500	D	61.89	1.11	Ga	18	0	2	5	4	2.75	3	2
43974	L43500	D	108.72	8.36	Obc	2912	3	2	6	3	3.5	2	5
