ID	local	taxa	N	temp	abertura									
1	1	M	21	25.5	Aberto									
2	1	C	3	25.5	Aberto									
3	2	M	16	24	Aberto									
4	3	M	12	18	Fechado									
5	3	C	15	18	Fechado									
6	4	C	3	25	Aberto									
7	5	M	12	19.1	Fechado									
8	5	C	13	19.1	Fechado									
9	5	I	1	19.1	Fechado									
10	6	M	23	24.3	Aberto									
11	7	M	8	17.8	Fechado									
12	8	M	15	24.2	Aberto									
13	8	I	12	24.2	Aberto									
14	9	M	5	17.5	Fechado									
15	9	C	19	17.5	Fechado									
16	10	M	18	21	Aberto									
17	10	C	3	21	Aberto									
18	11	C	17	16.2	Fechado									
19	12	M	23	22	Aberto									
20	12	C	7	22	Aberto									
