parcela	valor1	valor2
l30500	2.6	12.8
l30500	2.6	12.7
l30500	2.6	12.8
l30500	2.6	12.8
l30500	2.4	11.2
l30500	11.3	19.9
l30500	11.3	19.5
l30500	11.4	19.0
l30500	7.1	11.3
l30500	5.8	10.3
l30500	5.6	9.8
l30500	5.8	9.5
l30500	4.9	8.1
l30500	2.0	3.7
l30500	2.1	3.7
l30500	2.1	3.8
l30500	2.2	3.8
l30500	2.2	3.8
l30500	4.7	12.8
l30500	4.6	12.8
l30500	4.6	12.8
l31500	3.1	11.7
l31500	3.2	11.7
l31500	3.2	11.8
l31500	3.1	11.7
l31500	4.1	18.1
l31500	4.1	18.4
l31500	4.0	18.5
l31500	4.1	17.3
l31500	2.7	15.2
l31500	2.2	13.0
l31500	1.7	9.9
l31500	1.5	6.3
l31500	2.3	3.5
l31500	2.3	3.5
l31500	2.3	3.5
l31500	2.3	3.5
l31500	6.8	19.0
l31500	7.2	19.0
l31500	7.1	19.0
l31500	7.1	19.0
l32500	4.6	7.1
l32500	4.8	8.2
l32500	4.9	9.2
l32500	4.7	8.4
l32500	3.7	15.5
l32500	3.7	15.5
l32500	3.8	15.5
l32500	3.8	15.6
l32500	4.5	18.8
l32500	4.6	19.0
l32500	4.6	19.0
l32500	4.6	18.9
l32500	5.0	18.9
l32500	5.2	19.3
l32500	5.2	19.0
l32500	5.2	18.5
l32500	3.1	12.8
l32500	3.0	12.6
l32500	3.0	12.8
l32500	3.0	12.9
l32500	2.9	12.8
l33500	1.4	6.1
l33500	1.4	6.1
l33500	1.4	6.1
l33500	1.4	6.1
l33500	1.3	3.6
l33500	1.3	3.6
l33500	1.3	3.6
l33500	1.3	3.6
l33500	0.7	2.0
l33500	1.3	2.6
l33500	1.3	2.6
l33500	1.3	2.6
l33500	2.9	8.1
l33500	4.0	9.1
l33500	4.0	9.1
l33500	4.0	9.1
l34500	0.3	0.5
l34500	0.3	0.5
l34500	0.3	0.5
l34500	0.3	0.5
l34500	1.1	3.5
l34500	1.1	3.5
l34500	1.1	3.5
l34500	1.1	3.5
l34500	0.7	2.0
l34500	0.7	2.0
l34500	0.7	1.9
l34500	0.7	2.0
l34500	0.5	1.0
l34500	0.5	1.0
l34500	0.5	1.0
l34500	0.5	1.0
l34500	0.2	0.6
l34500	0.2	0.6
l34500	0.2	0.5
l34500	0.2	0.5
l34500	0.6	1.2
l34500	0.6	1.2
l34500	0.6	1.2
l34500	0.6	1.2
l40500	2.2	7.4
l40500	2.2	7.4
l40500	2.2	7.4
l40500	2.2	7.4
l40500	2.7	7.2
l40500	2.7	7.2
l40500	2.7	7.2
l40500	2.7	7.2
l40500	2.1	6.6
l40500	2.1	6.5
l40500	2.1	6.5
l40500	2.4	7.7
l40500	2.3	7.6
l40500	2.2	7.6
l40500	2.8	8.1
l40500	2.7	7.5
l40500	2.7	7.5
l40500	2.7	7.5
l41500	0.6	1.2
l41500	0.6	1.2
l41500	0.6	1.2
l41500	0.6	1.2
l41500	0.6	1.6
l41500	0.6	1.6
l41500	0.6	1.6
l41500	0.6	1.6
l41500	2.8	7.2
l41500	1.9	3.1
l41500	1.9	3.1
l41500	1.9	3.1
l41500	1.6	2.9
l41500	1.6	2.9
l41500	1.6	2.9
l41500	1.6	2.9
l41500	0.6	2.1
l41500	0.6	2.1
l41500	0.6	2.1
l41500	0.6	2.1
l42500	2.3	4.2
l42500	2.8	7.2
l42500	2.8	7.2
l42500	2.8	7.2
l42500	2.3	4.2
l42500	2.3	4.2
l42500	2.3	4.2
l42500	2.3	4.2
l42500	2.7	6.5
l42500	7.3	6.9
l42500	7.3	6.9
l42500	7.3	6.9
l42500	3.0	5.7
l42500	2.6	5.6
l42500	2.6	5.8
l42500	2.6	6.0
l42500	2.5	5.9
l42500	3.2	6.4
l42500	3.0	6.1
l42500	3.0	5.9
l42500	3.0	5.8
l43500	2.5	3.5
l43500	2.5	3.5
l43500	2.5	3.5
l43500	2.5	3.5
l43500	2.5	7.5
l43500	2.5	7.5
l43500	2.5	7.5
l43500	2.5	7.5
l43500	5.7	10.9
l43500	4.5	9.9
l43500	4.6	10.0
l43500	4.5	9.9
l43500	3.0	11.3
l43500	2.9	11.3
l43500	2.9	11.3
l43500	3.0	11.3
l43500	3.0	11.3
l43500	9.7	16.8
l43500	3.7	12.9
l43500	3.7	12.9
l43500	3.7	13.0
l43500	3.7	13.0
l44500	1.1	5.2
l44500	1.1	5.2
l44500	1.1	5.2
l44500	1.0	5.1
l44500	2.5	5.9
l44500	2.4	5.8
l44500	2.4	5.8
l44500	2.4	5.8
l44500	2.8	8.5
l44500	3.0	7.5
l44500	3.1	7.5
l44500	3.0	7.5
l44500	2.8	8.5
l44500	2.8	8.5
l44500	2.8	8.5
l44500	2.8	8.5
l44500	1.8	5.3
l44500	1.8	5.3
l44500	1.8	5.4
l44500	1.8	5.4
l50500	1.4	6.9
l50500	1.4	6.9
l50500	1.4	6.9
l50500	1.4	6.9
l50500	3.2	10.1
l50500	3.5	10.4
l50500	3.5	10.4
l50500	3.2	10.2
l50500	1.3	5.7
l50500	1.5	7.7
l50500	1.5	7.4
l50500	1.5	7.4
l50500	1.5	7.7
l50500	4.0	12.9
l50500	4.0	12.9
l50500	4.0	13.0
l50500	1.5	6.2
l50500	1.5	6.2
l50500	1.5	6.2
l50500	1.4	6.2
l50500	3.9	10.4
l51500	1.7	3.0
l51500	1.2	2.2
l51500	1.2	2.2
l51500	1.2	2.2
l51500	1.7	2.9
l51500	1.7	2.9
l51500	1.8	3.0
l51500	1.8	3.0
l51500	2.0	3.5
l51500	2.1	3.6
l51500	2.1	3.7
l51500	2.0	3.3
l51500	1.9	3.2
l51500	1.9	3.2
l51500	1.9	3.2
l51500	3.0	4.3
l51500	3.1	4.3
l51500	3.2	4.3
l51500	3.2	4.4
l52500	4.7	12.7
l52500	16.3	20.8
l52500	11.7	14.1
l52500	11.7	14.3
l52500	4.5	12.7
l52500	4.5	12.7
l52500	4.6	12.7
l52500	4.6	12.7
l52500	3.7	12.3
l52500	1.5	2.4
l52500	1.5	2.6
l52500	1.7	2.6
l52500	3.7	12.3
l52500	3.7	12.3
l52500	3.7	12.3
l52500	3.7	12.3
l52500	9.5	20.3
l52500	9.5	20.3
l52500	9.4	20.3
l52500	9.4	20.3
l53500	12.8	18.5
l53500	12.9	18.6
l53500	12.9	18.6
l53500	12.9	18.5
l53500	12.9	18.5
l53500	6.8	13.1
l53500	6.8	13.1
l53500	6.8	13.1
l53500	8.2	15.9
l53500	8.3	16.0
l53500	8.3	16.1
l53500	8.4	16.1
l53500	8.4	16.0
l53500	3.5	14.6
l53500	3.5	14.5
l53500	3.5	14.5
l53500	3.5	14.5
l53500	3.5	14.6
l53500	1.1	1.9
l53500	1.2	2.0
l53500	1.2	2.1
l53500	1.2	2.1
l53500	1.6	5.5
l54500	2.6	8.2
l54500	2.6	7.6
l54500	2.5	7.2
l54500	2.3	6.2
l54500	3.2	19.0
l54500	3.2	18.9
l54500	3.2	18.9
l54500	3.2	18.9
l54500	2.8	11.5
l54500	2.7	11.6
l54500	2.7	11.6
l54500	2.7	11.6
l54500	2.4	11.5
l54500	2.5	11.6
l54500	2.5	11.6
l54500	2.5	11.5
l54500	1.8	11.8
l54500	1.8	11.8
l54500	1.8	11.8
l54500	1.8	11.8
l60500	0.7	1.6
l60500	0.8	1.6
l60500	0.8	1.6
l60500	0.8	1.6
l60500	1.1	4.2
l60500	1.1	4.2
l60500	1.1	4.2
l60500	1.1	4.2
l60500	0.7	1.9
l60500	0.7	1.9
l60500	0.7	1.9
l60500	0.7	1.9
l60500	0.5	1.2
l60500	0.5	1.2
l60500	0.5	1.2
l60500	0.5	1.3
l60500	1.2	3.3
l60500	1.2	3.3
l60500	1.2	3.3
l60500	1.2	3.3
l61500	0.3	1.2
l61500	0.3	1.2
l61500	0.3	1.2
l61500	0.3	1.2
l61500	1.1	4.2
l61500	0.7	2.1
l61500	0.8	2.1
l61500	0.7	2.1
l61500	0.7	2.1
l61500	0.9	3.1
l61500	0.9	3.1
l61500	0.9	3.1
l61500	0.9	3.1
l61500	0.9	1.8
l61500	0.8	1.8
l61500	0.8	1.8
l61500	0.9	1.8
l61500	1.3	2.4
l61500	1.3	2.4
l61500	1.3	2.4
l61500	1.3	2.4
l62500	1.1	5.5
l62500	2.2	9.1
l62500	2.2	9.1
l62500	2.2	9.1
l62500	2.2	9.1
l62500	1.1	5.5
l62500	1.1	5.5
l62500	1.1	5.4
l62500	1.1	5.5
l62500	0.8	2.1
l62500	0.8	2.1
l62500	0.8	2.1
l62500	0.8	2.1
l62500	2.1	3.8
l62500	2.1	3.8
l62500	2.1	3.8
l62500	2.6	8.8
l62500	2.4	8.6
l62500	2.3	8.7
l63500	4.5	15.8
l63500	4.4	15.8
l63500	4.4	15.8
l63500	4.4	15.8
l63500	4.5	14.9
l63500	4.5	14.9
l63500	4.5	14.9
l63500	4.5	14.9
l63500	2.0	10.8
l63500	2.0	10.8
l63500	2.0	10.8
l63500	1.9	10.9
l63500	3.6	14.6
l63500	3.6	14.6
l63500	3.6	14.6
l63500	3.6	14.6
l63500	6.3	18.0
l63500	6.3	18.0
l63500	6.3	18.0
l63500	6.3	18.0
l64500	1.4	6.9
l64500	1.4	6.9
l64500	1.4	6.9
l64500	1.4	6.9
l64500	2.2	9.8
l64500	2.2	9.8
l64500	2.2	9.8
l64500	2.2	9.9
l64500	2.7	10.3
l64500	2.6	10.3
l64500	2.5	10.2
l64500	4.4	15.4
l64500	4.5	15.4
l64500	4.4	15.4
l64500	4.5	15.4
l64500	1.7	2.8
l64500	1.6	2.8
l64500	1.5	2.9
l64500	1.7	3.1
l70500	4.4	8.9
l70500	4.5	9.4
l70500	4.6	9.7
l70500	4.6	9.7
l70500	6.2	9.4
l70500	6.1	9.4
l70500	6.2	9.4
l70500	6.2	9.4
l70500	9.0	12.6
l70500	9.0	12.6
l70500	9.1	12.6
l70500	9.1	12.6
l70500	12.9	14.3
l70500	12.8	14.2
l70500	12.8	14.2
l70500	12.9	14.2
l70500	4.2	7.5
l70500	4.2	7.5
l70500	4.2	7.6
l70500	4.2	7.6
l71500	8.0	3.9
