Local	sp_1	sp_2	sp_3	sp_4	sp_5	sp_6	sp_7	sp_8	sp_9	sp_10	sp_11	sp_12	sp_13	sp_14	sp_15	sp_16	sp_17	sp_18	sp_19	sp_20	sp_21	sp_22	sp_23	N	Dist	Temp	Soil_Clay
1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	15	45	24.6	60
2	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	13	55	23.1	15
3	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	13	60	24.8	31
4	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	15	70	23.2	28
5	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	12	35	27.1	43
6	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	18	140	21.5	58
7	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	16	10	28	21
8	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	14	40	26	62
9	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	23	75	22.5	75
10	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	1	1	24	150	21.4	51
11	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	26	110	23.3	34
12	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	18	15	27.4	62
13	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	23	105	22.7	40
14	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	25	85	23.3	50
15	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	25	115	22.5	13
16	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	27	80	23.2	52
17	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	30	100	22.3	66
18	0	1	1	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	32	135	20.5	62
19	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	32	90	23.3	50
20	1	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	30	95	24	13
21	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	36	125	22.2	28
22	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	37	130	22.4	38
23	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	29	30	26.3	19
24	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	33	50	24.8	80
25	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	37	120	21.5	32
26	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	35	25	27.3	51
27	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	40	155	21	14
28	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	40	20	27	30
29	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	41	65	25.2	47
30	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	41	145	20.6	47
